datetime,ERS_Mic2_Counter,SSV_Mic2_Counter,SSV_Occupancy,SSV_Monthly_Fuel_Delivery_IG,SSV_Current_Tank_Level_L,ERS_Fuel_Delivery_IG,ERS_Tank_Level_L,Total_Enerwhere_Cost_AED,SSV_Solar_Counter,ERS_Solar_Counter,SSV_MDB2_Counter,SSV_MDB3_Counter,SSV_Kitchen_and_Laundry_Counter,Months_Base,SSV_Baseline_kWh,SSV_Baseline_Fuel_Efficiency_L_Per_kWh,SSV_Historical_Cost_AED_Per_kWh,ERS_Baseline_kWh,ERS_Baseline_Fuel_Efficiency_L_Per_kWh,ERS_Historical_Cost_AED_Per_kWh,,,""""
5/31/2015,133245,-3658292.8,,20734.30134,67414.5,0,6776,1000,8983,860695,-244287.4194,-489983.6229,-1008734.05,1,85140,0.439708421,1.847672766,7500,1.363827,3.15,,,
6/30/2015,155648,-3309049.1,,14317.5784,50714.5,2149.979433,1500,1000,39926,866309,-214428.848,-411366.48,-916432.05,2,118503,0.314248388,1.198226866,11583.33333,1.20471385,2.7825,,,
7/31/2015,201900,-2927029.9,,23561.78606,62914.5,3701.422541,4600,1000,74308,875191,-169797.9,-317124,-812835.05,3,149391,0.314248388,1.198226866,15666.66667,1.0456007,2.415,,,
8/31/2015,254606,-2481135.6,,25565.71862,73914.5,3548.626172,7000,1000,109242,884541,-119585,-214934,-711654.05,4,184932,0.326325894,1.364617843,19750,0.88648755,2.0475,,,
9/30/2015,300152,-2095100.6,,19780.01468,70914.5,2728.043333,6500,1000,140357,892490,-72450,-119949,-626951.05,5,235719,0.326325894,1.364617843,23833.33333,0.7273744,1.68,,,
10/31/2015,339046,-1751664.2,,21570.00192,84968.6634,2924.453752,8390,1000,169915,900280,-29477,-46177,-536525.05,6,264825,0.394,1.5,27916.66667,0.56826125,1.3125,,,
11/30/2015,362115,-1526502.4,,11064.89313,84914.5,1374.807802,8330,1000,207451,906834,705,787,-478728.05,7,378871,0.381066755,1.363805103,32000,0.4091481,0.945,,,
12/31/2015,373688,-1382270.8,,0,67097.5,0,3780.9,1000,235968,909082,26691,27033,-430249.38,8,458974,0.430835542,1.351570884,27916.66667,0.56826125,1.3125,,,
1/31/2016,384521,-1239249.5,,6637.792037,67812.5,1361.829616,5233,1000,268807,911211,52943,49788,-384871.72,9,413325,0.292153194,0.960416946,23833.33333,0.7273744,1.68,,,
2/29/2016,394723,-1105154.8,,7046.714869,72914.5,953.5666914,5326.5,1000,303871,913677,77890,70489,-340171.72,10,278588,0.315955343,1.038165991,19750,0.88648755,2.0475,,,
3/31/2016,408847,-932322.5,,6757.895246,66334.5,1241.286468,5958,1000,342910,916259,98065,102703,-296895.72,11,174636,0.314248388,1.198226866,15666.66667,1.0456007,2.415,,,
4/30/2016,429713,-700579.5,,7122.60426,53753.5,869.978377,4267,1000,391233,921895,129668,146931,-236499.72,12,105930,0.439708421,1.847672766,11583.33333,1.20471385,2.7825,,,
5/31/2016,467615,-362557.9,,20393.12904,64049.5,2953.307128,7962.78,1000,452194,930876,171141,223368,-156494.72,,,,,,,,,,
6/30/2016,506881,0,,14319.7781,71152.5,1679.465211,5552,1000,513424,939629,216716,316831,-73147.72,,,,,,,,,,
7/31/2016,558483,443093,,28324.56023,70479.25,3672.3866,8207.7,1000,567777,946803,264000,429715,28902.28,,,,,,,,,,
8/31/2016,612178,917097,,21981.98012,71442.4,2017.544747,7083.9,1000,609508,954540,280040,466688,124567.73,,,,,,,,,,
9/30/2016,658492,1342630,,13246.54813,23139.25,2753.135112,5798.73,1000,659599,961767,326510,577245,212831.45,,,,,,,,,,
10/31/2016,685825,1619260,,13803.07033,25710.011,2197.052852,6443.57,1000,705927.42,968180,364034,651177,283606,,,,,,,,,,
11/30/2016,706566,1846510,,14086.83066,31057.5,1915.052276,7151,1000,745984,973915,397830,707812,349062,,,,,,,,,,
12/31/2016,720844,2013820,,6678.926286,21609.5,1319.81549,6680,1000,783368,977712,425100,740681,401381,,,,,,,,,,
1/31/2017,736578,2175600,,6626.353636,23447.5,1373.268017,4929,1000,823201,981835,455064,766120,462336.4,,,,,,,,,,
2/28/2017,744208,2263150,,6688.604933,33872.5,1311.01672,6715,1000,836414,983339,470339,780032,495211,,,,,,,,,,
