Month,SSV_Base_Cost_AED,SSV_Actual_fuel_consumption_L,SSV_Base_fuel_consumption_L,SSV_Actual_electricity_kWh,SSV_Base_electricity_kWh
May-2015,394305.37,81160.00,94291.63873,288949.30,235719
Jun-2015,523865.55,81789.00,137602.0178,349243.70,264825
Jul-2015,520999.73,94914.00,145574.8167,382019.20,378871
Aug-2015,602657.75,105224.06,192107.1124,445894.30,458974
Sep-2015,370754.56,92921.73,112781.3582,386035.00,413325
Oct-2015,356543.99,84005.01,108510.5655,343436.40,278588
Nov-2015,269794.92,50356.16,70756.73272,225161.80,174636
Dec-2015,266492.80,17817.00,63419.84906,144231.60,105930
Jan-2016,264256.56,29461.00,62887.66996,143021.30,85140
Feb-2016,160675.87,26933.00,42139.04333,134094.70,118503
Mar-2016,207092.31,37302.00,54312.27169,172832.30,149391
Apr-2016,316240.63,44961.00,75623.74172,231743.00,184932
May-2016,461270.31,82413.00,110305.2009,338021.60,235719
Jun-2016,543836.85,57996.00,142847.8126,362557.90,264825
Jul-2016,604292.49,129439.25,168848.0115,443093.00,378871
Aug-2016,640650.01,98968.91,204217.7702,474004.00,458974
Sep-2016,408689.10,108523.15,124320.825,425533.00,413325
Oct-2016,287187.86,60179.24,87402.72651,276630.00,278588
Nov-2016,272297.06,58692.51,71412.94621,227250.00,174636
Dec-2016,309134.13,39811.00,73567.61588,167310.00,105930
Jan-2017,298916.50,28286.00,71136.02831,161780.00,85140
